run_id,model,surface,criterion,layer,real_template_accuracy,nonce_heldout_accuracy,real_to_nonce_accuracy,nonce_to_real_accuracy,transfer_mean_accuracy,centroid_nearest_accuracy,centroid_alignment_margin,overlap_source_eta2,token_count_r2_on_pc1,balanced_layer_score
REP01_E03,Qwen3-1.7B,base,best_transfer,4,0.7692307692307693,1.0,0.7,0.88,0.79,0.5,5.507469177246094e-05,0.15794433222373142,0.3677071991612576,1.0401839426777266
REP01_E03,Qwen3-1.7B,base,best_centroid_alignment,1,0.8076923076923077,0.85,0.64,0.78,0.71,0.8,0.31614458560943604,0.029297144574112442,0.6648365679852978,1.6306382990389992
REP01_E03,Qwen3-1.7B,base,best_balanced,1,0.8076923076923077,0.85,0.64,0.78,0.71,0.8,0.31614458560943604,0.029297144574112442,0.6648365679852978,1.6306382990389992
REP01_E05b,Qwen3-1.7B,full,best_transfer,3,0.7777777777777778,1.0,0.8,0.7866666666666666,0.7933333333333333,0.5,0.00024628639221191406,0.03356248028021525,0.22131441189910753,1.2046885364705533
REP01_E05b,Qwen3-1.7B,full,best_centroid_alignment,28,0.6111111111111112,0.8,0.52,0.62,0.5700000000000001,0.5,0.31725412607192993,0.06797235541606594,0.03155998682104177,1.3113917739506038
REP01_E05b,Qwen3-1.7B,full,best_balanced,1,0.6666666666666666,0.85,0.59,0.5933333333333334,0.5916666666666667,0.7,0.23203444480895996,0.03145706829557652,0.11702680020647045,1.4629873431284324
REP01_E06,Qwen3-8B,base,best_transfer,5,0.9615384615384616,0.95,0.87,0.96,0.915,0.7,0.47303667664527893,0.05164102223948434,0.4330254918165888,1.9281392814516474
REP01_E06,Qwen3-8B,base,best_centroid_alignment,6,0.8461538461538461,0.95,0.83,0.88,0.855,1.0,0.523018479347229,0.0328756180248503,0.39013290797838035,2.247609634327784
REP01_E06,Qwen3-8B,base,best_balanced,6,0.8461538461538461,0.95,0.83,0.88,0.855,1.0,0.523018479347229,0.0328756180248503,0.39013290797838035,2.247609634327784
REP01_E06b,Qwen3-8B,full,best_transfer,6,0.9305555555555556,0.95,0.89,0.8866666666666667,0.8883333333333334,0.9,0.4985044300556183,0.03717782673021701,9.506527205528586e-05,2.249636170340721
REP01_E06b,Qwen3-8B,full,best_centroid_alignment,4,0.9027777777777778,0.95,0.85,0.84,0.845,0.9,0.5109769105911255,0.04040830411165007,0.2629822286277137,2.1498230493225474
REP01_E06b,Qwen3-8B,full,best_balanced,6,0.9305555555555556,0.95,0.89,0.8866666666666667,0.8883333333333334,0.9,0.4985044300556183,0.03717782673021701,9.506527205528586e-05,2.249636170340721
REP01_E07,Fanar-1-9B,base,best_transfer,5,0.8846153846153846,1.0,0.82,0.94,0.8799999999999999,1.0,0.47327500581741333,0.029145728102494287,0.23445529744941745,2.2655154533525645
REP01_E07,Fanar-1-9B,base,best_centroid_alignment,5,0.8846153846153846,1.0,0.82,0.94,0.8799999999999999,1.0,0.47327500581741333,0.029145728102494287,0.23445529744941745,2.2655154533525645
REP01_E07,Fanar-1-9B,base,best_balanced,5,0.8846153846153846,1.0,0.82,0.94,0.8799999999999999,1.0,0.47327500581741333,0.029145728102494287,0.23445529744941745,2.2655154533525645
REP01_E07b,Fanar-1-9B,full,best_transfer,5,0.9027777777777778,1.0,0.77,0.8466666666666667,0.8083333333333333,1.0,0.4547881484031677,0.031839031547310014,0.07877370681148826,2.2115890234863196
REP01_E07b,Fanar-1-9B,full,best_centroid_alignment,5,0.9027777777777778,1.0,0.77,0.8466666666666667,0.8083333333333333,1.0,0.4547881484031677,0.031839031547310014,0.07877370681148826,2.2115890234863196
REP01_E07b,Fanar-1-9B,full,best_balanced,5,0.9027777777777778,1.0,0.77,0.8466666666666667,0.8083333333333333,1.0,0.4547881484031677,0.031839031547310014,0.07877370681148826,2.2115890234863196
REP01_E08,ALLaM-7B,base,best_transfer,4,0.6538461538461539,1.0,0.63,0.46,0.545,0.30000000000000004,1.6093254089355469e-06,0.5423592682809427,0.7011350045420383,0.12735858990895674
REP01_E08,ALLaM-7B,base,best_centroid_alignment,32,0.5384615384615384,0.8,0.38,0.5,0.44,0.4,0.1227114200592041,0.20889955221460071,0.6887370709499905,0.5816276001071059
REP01_E08,ALLaM-7B,base,best_balanced,1,0.6153846153846154,0.75,0.41,0.58,0.495,0.7,0.11144179105758667,0.04676695710876128,0.7677789932284476,1.0677300856417133
REP01_E08b,ALLaM-7B,full,best_transfer,11,0.7083333333333334,1.0,0.67,0.5866666666666667,0.6283333333333334,0.30000000000000004,1.049041748046875e-05,0.22489420487445502,0.6966962288872744,0.5292755616545404
REP01_E08b,ALLaM-7B,full,best_centroid_alignment,1,0.7222222222222222,0.75,0.5,0.5133333333333333,0.5066666666666666,0.5,0.12235897779464722,0.0306857018864384,0.7608064580575017,0.9081383280605
REP01_E08b,ALLaM-7B,full,best_balanced,0,0.6388888888888888,0.5,0.4,0.3466666666666667,0.37333333333333335,0.5,0.10594142973423004,0.02086770606386313,0.1620202226936392,0.9179020013302904
